state_code,num_employee_code,naics_code,inst_type_code,birth_date,sex,date_filed,closure_code,basis_code,issue_code,litigation_case_type
MA,A,445110.0,E,05/05/58,F,06/25/10,M2,OR,O1,
SC,,611110.0,G,07/31/59,F,09/03/10,M3,RB,D2,
NY,,524126.0,E,01/23/63,F,07/21/10,,RB,H1,
NV,C,,E,,M,07/29/10,,AO,T2,
AR,C,311612.0,E,06/19/60,M,03/18/10,M3,Z4,T3,
LA,C,,E,05/06/78,M,05/18/10,,RB,H1,
IL,A,424940.0,E,04/23/67,F,03/29/10,,WJ,D3,
AL,,517510.0,E,01/09/62,F,10/13/09,N2,OR,T2,
NY,B,,E,10/01/86,F,03/24/10,M3,AO,R6,
TX,A,541990.0,E,10/15/68,F,10/29/09,M3,OR,D2,
AZ,D,611699.0,K,04/15/46,M,02/11/10,M3,OA,D1,
PA,D,813930.0,U,09/14/64,M,12/16/09,M2,UB,U1,
GA,C,448120.0,E,01/20/79,F,02/01/10,M3,RB,T2,
MI,B,921120.0,G,07/11/63,M,11/13/09,,OR,S3,
VA,U,622310.0,E,11/24/72,F,02/24/10,M3,NH,T2,
CO,A,,E,,N,02/10/10,N2,T3,D2,
CO,A,922190.0,E,11/21/65,F,09/07/10,M3,AO,S4,
GA,A,,E,07/03/90,M,05/21/10,M3,OR,I1,
PA,D,,E,10/02/66,F,11/04/09,M3,Z4,R6,
FL,A,623110.0,E,04/29/44,N,01/13/10,,OC,H1,
AZ,B,,E,,M,04/09/10,Y1,OR,A3,
IL,D,333618.0,E,12/11/54,M,01/05/10,M3,OR,D2,
OK,D,,E,02/22/58,M,12/10/09,M3,Z2,D2,
KY,D,,E,05/11/73,F,11/25/09,M3,OR,D2,
AZ,D,524210.0,E,10/13/40,M,05/13/10,,GM,D2,
NC,D,561612.0,E,08/20/63,F,04/19/10,,RW,D2,
PA,D,561720.0,E,01/01/68,M,05/13/10,,OA,D2,
PR,D,,E,02/28/65,F,02/10/10,,GF,H2,
IL,D,333618.0,E,10/04/69,N,09/22/10,,UE,R1,
NC,,311999.0,E,,F,10/19/09,M1,GF,D1,
AZ,D,622110.0,E,05/07/71,M,11/23/09,M3,GM,D2,
AZ,A,561612.0,E,08/03/63,F,12/14/09,N2,GF,D2,
CA,D,,K,02/22/57,F,09/07/10,,RB,D1,
IL,A,,G,05/14/67,F,12/02/09,,GF,T2,
TX,D,,E,07/23/74,M,03/26/10,M3,RB,S5,
TN,D,521110.0,E,04/17/68,M,07/20/10,,UB,I1,
GA,A,,E,12/08/71,F,12/29/09,M3,GP,T2,
VA,D,,G,,M,06/29/10,Y2,OR,E1,
CA,A,,E,,F,11/03/09,X1,RW,I1,
CT,D,611310.0,E,04/14/69,F,11/16/09,,NH,D3,
TX,A,561612.0,E,06/30/48,M,12/07/09,M3,NO,D2,
FL,A,336111.0,E,03/23/73,M,02/18/10,,GM,H1,
TX,D,452910.0,E,05/07/65,F,03/16/10,M3,RB,D3,
IL,D,561612.0,E,11/21/60,M,12/17/09,M3,Z2,D2,
MD,D,445110.0,E,02/06/62,F,02/24/10,M3,OR,S5,
TX,A,325620.0,E,08/17/56,M,11/04/09,M2,OR,D2,
NV,D,551112.0,E,,F,07/22/10,Y1,T2,D2,
OR,A,484220.0,E,,N,11/09/09,N2,W3,O1,
TN,A,,E,12/18/81,M,08/06/10,M3,OR,T2,
AR,A,624110.0,G,11/30/55,F,04/12/10,M2,OR,T2,
GA,D,,E,08/08/66,M,02/10/10,,RB,D2,
FL,D,722110.0,E,06/16/81,F,03/10/10,M1,OR,D3,
TX,A,,E,05/03/82,F,03/18/10,,UC,T2,
PA,D,541940.0,E,06/22/82,F,01/29/10,N2,Z3,H1,
TN,D,561110.0,E,07/22/74,F,11/18/09,,Z2,A3,
PA,C,335911.0,E,01/01/52,F,05/12/10,,OR,R6,
MD,D,611110.0,E,12/29/61,M,10/05/09,M3,RB,A3,
AR,A,623990.0,G,07/23/58,M,03/02/10,Y1,OR,S5,
TN,A,622110.0,E,02/21/68,F,06/09/10,,RH,D2,
MN,C,424810.0,E,08/18/55,M,06/22/10,,Z2,A3,
NY,D,523110.0,E,12/08/78,M,08/11/10,,OR,A3,
AZ,D,,E,12/02/51,M,02/23/10,M1,XC,R6,
VA,D,541990.0,E,09/16/72,F,10/28/09,,OR,D2,
IN,C,,E,,F,03/04/10,M1,OR,D2,
WI,D,,I,03/09/50,M,03/09/10,,OR,W1,
AZ,D,622110.0,E,01/24/83,F,08/05/10,,OR,D2,
NC,D,517919.0,E,01/02/58,M,12/07/09,,U2,D2,
TX,D,,E,12/16/73,M,09/03/10,X2,Z3,D2,
IN,A,,E,12/31/57,F,04/08/10,M2,OA,L1,
TX,D,,E,10/15/63,F,12/14/09,M1,GF,D3,
GA,A,,E,01/24/60,F,01/20/10,M3,OR,D2,
NY,D,444110.0,E,10/21/70,M,08/02/10,,WL,D3,
WA,D,315211.0,E,05/03/62,F,03/25/10,M3,OR,D2,
TX,D,238990.0,E,12/01/65,M,12/16/09,M3,RB,D2,
TX,B,,E,09/23/62,F,02/03/10,M3,RB,D2,
TN,A,,E,01/22/58,F,07/12/10,,OR,D2,
OH,D,,E,04/13/50,F,07/30/10,M1,OA,H1,
NC,A,621111.0,E,08/03/70,F,10/06/09,M3,RB,D3,
GA,U,,G,08/21/63,M,05/12/10,,RW,P3,
OR,D,922150.0,G,11/03/65,M,12/23/09,M3,T3,T2,
CA,D,448140.0,E,10/21/60,F,11/24/09,,OA,S3,
VA,B,337910.0,E,07/29/63,F,08/25/10,M3,OR,T2,
AL,B,334310.0,E,06/22/49,F,07/28/10,M2,OR,T2,
VA,D,452910.0,E,04/12/51,M,09/29/10,,OA,W1,
KS,A,454390.0,E,12/06/54,M,12/18/09,X2,OR,D2,
IN,B,,E,10/15/59,F,10/09/09,M2,GF,D2,
OH,D,,E,01/04/87,F,01/05/10,M3,RB,C1,
TN,D,611110.0,E,09/24/43,F,12/21/09,,OA,T2,
TX,A,237990.0,E,,F,03/16/10,,OR,S4,
MN,C,,E,02/11/85,F,08/24/10,M3,RB,D2,
IL,D,451211.0,E,04/22/74,F,08/30/10,,T7,T2,
GA,D,551114.0,E,07/25/42,M,04/30/10,,OR,D2,
CO,C,921120.0,G,03/02/61,M,04/06/10,M3,OA,H1,
MD,D,,E,03/17/67,F,01/21/10,M3,GF,D3,
NJ,D,541213.0,E,12/24/67,F,09/17/10,M3,AP,H1,
LA,B,721199.0,E,11/18/54,M,03/04/10,M3,RB,I1,
NC,A,,E,07/07/75,F,12/28/09,,OR,O1,
TX,D,622310.0,E,11/15/80,F,07/13/10,M3,W2,D2,
PA,C,611110.0,K,01/16/63,M,03/17/10,,UE,T2,
GA,A,,E,10/31/53,F,08/26/10,M2,OA,D2,
AZ,B,921190.0,G,06/19/73,F,01/21/10,M3,RW,H1,
LA,A,,S,02/17/59,F,03/29/10,M3,OR,D2,
PA,A,812930.0,E,09/01/76,M,11/18/09,M2,OR,D2,
MO,A,,E,,M,10/23/09,M3,OR,D3,
NC,D,,E,07/11/80,F,04/02/10,,OR,D2,
CO,D,488190.0,E,,N,06/16/10,,NO,D2,
FL,A,423450.0,E,02/03/83,F,05/26/10,M2,OR,D2,
WI,A,,P,06/21/70,M,12/08/09,M3,UC,R6,
VA,D,,G,09/27/72,M,11/13/09,,OR,T2,
CA,D,722110.0,E,06/17/84,M,04/09/10,M3,OC,H1,
CO,D,517919.0,E,05/07/62,F,07/22/10,M3,RB,D2,
TN,B,,E,02/06/74,M,03/15/10,,RW,W1,
AR,A,,E,03/18/70,M,11/09/09,M2,RB,O1,
GA,D,,E,08/30/86,F,11/17/09,M1,RW,T2,
OH,D,421120.0,E,07/08/58,F,02/09/10,M3,RB,H1,
NY,D,541330.0,E,09/23/52,M,03/31/10,,,T2,
GA,D,621991.0,E,02/24/83,F,11/20/09,,PF,T2,
MI,A,561990.0,E,05/26/75,F,02/16/10,M3,OR,D2,
FL,A,,E,07/22/63,F,11/05/09,M3,NO,O1,
OK,D,722410.0,E,12/11/74,M,08/18/10,Y1,NO,P3,
CA,B,611110.0,K,05/19/45,F,07/15/10,,GF,I1,
IL,A,,E,07/07/70,M,02/23/10,M1,Z2,D2,
GA,C,,E,06/21/78,F,04/13/10,,RB,T2,
CA,D,522110.0,E,02/09/57,M,06/24/10,,OA,T2,
MD,B,,E,10/10/60,M,11/24/09,,AO,H2,
NY,D,922120.0,G,06/30/74,M,07/07/10,M3,NH,T2,
IL,D,611310.0,I,03/28/67,M,09/20/10,M3,OA,T2,
VA,A,483111.0,E,,N,11/24/09,M2,RB,D2,
NV,C,,E,12/01/39,F,03/30/10,M2,OR,T2,
OK,U,561499.0,G,,F,11/24/09,M5,Z2,C1,
OH,A,,E,02/04/53,M,10/21/09,M3,VB,H2,
MD,D,,G,03/06/58,M,01/19/10,M3,GM,H2,
PA,D,622110.0,E,06/16/51,F,11/12/09,N2,XC,R6,
SC,C,611310.0,I,10/15/64,F,09/09/10,,OR,H1,
SC,D,452910.0,E,07/04/68,F,07/14/10,M3,RB,D2,
KY,D,622310.0,E,05/31/75,F,02/10/10,M3,,T2,
GA,C,,E,01/25/89,F,09/07/10,,RB,D2,
AZ,C,713990.0,E,04/30/51,M,10/23/09,M3,W3,D2,
CA,A,,E,05/18/86,M,01/29/10,M2,OR,D2,
NY,D,,K,02/23/51,F,07/16/10,,OA,O1,
CA,A,332999.0,E,09/07/54,M,04/02/10,,OA,D3,
IL,A,424710.0,E,07/13/38,M,03/01/10,,OA,T2,
MS,A,,E,01/06/75,M,06/16/10,M3,RB,W1,
VA,A,311991.0,E,02/16/84,M,11/19/09,,RB,H1,
NY,D,511120.0,E,,F,11/25/09,,GP,D2,
FL,A,,E,,F,04/09/10,M3,GF,H1,
CA,D,,E,07/26/57,F,08/24/10,,OR,A3,
NY,C,452111.0,E,01/03/57,N,11/23/09,,OA,H1,
NY,C,,E,01/28/80,M,08/16/10,,OR,T2,
TX,D,,G,08/14/67,F,11/18/09,M3,GF,W1,
CA,C,453210.0,E,04/17/56,M,05/18/10,,OR,D3,
MS,C,624310.0,E,09/12/49,F,09/27/10,M3,OA,S5,
SC,D,,E,07/01/64,M,06/07/10,,OR,D2,
PA,C,622110.0,E,07/26/76,F,01/14/10,,NH,D2,
PA,C,922140.0,E,11/01/69,F,08/24/10,,T3,R6,
CO,A,624120.0,E,,N,06/16/10,M3,Z2,R6,
TX,D,522130.0,E,03/21/87,F,06/02/10,M3,GF,S4,
DE,D,,E,01/06/74,M,12/07/09,N2,OR,D2,
UT,D,,G,05/03/52,F,10/15/09,,OA,L1,
CA,A,,E,05/03/56,M,12/28/09,,OR,D2,
TN,D,,E,08/18/68,M,03/09/10,M3,GM,S5,
CO,D,621999.0,E,,N,01/15/10,M1,OR,H1,
IL,D,611710.0,I,,F,04/28/10,,OC,P3,
CO,A,,K,,N,03/11/10,M3,OR,R6,
NV,D,621999.0,E,11/18/55,F,03/17/10,M3,OR,B1,
MN,D,522110.0,E,12/15/48,M,12/31/09,M3,OA,D2,
OH,C,623110.0,E,03/20/65,F,01/25/10,M3,RB,D2,
MI,A,,E,02/04/43,M,12/30/09,M3,OA,D2,
MO,U,,E,08/17/47,F,12/07/09,,OR,R6,
MS,D,622110.0,E,12/12/61,F,03/19/10,M3,OR,S5,
AR,A,721110.0,E,05/21/68,F,04/22/10,M3,GF,W1,
IL,D,,G,11/17/55,F,07/29/10,M3,OR,D3,
NC,C,446110.0,E,10/08/66,F,01/07/10,,OR,D2,
NY,D,,G,12/09/65,F,03/29/10,M3,OR,W1,
MI,C,484121.0,E,08/02/57,M,10/02/09,M2,VB,R6,
PA,A,621999.0,E,01/27/53,F,04/19/10,M3,VB,C1,
CO,D,,E,,F,12/28/09,M2,GF,C1,
CA,B,562920.0,E,,M,06/15/10,N2,U2,S5,
TX,D,561790.0,E,04/22/52,M,12/18/09,M2,NH,D2,
GA,A,541990.0,E,11/18/82,M,03/04/10,M3,NO,P3,
NY,U,,U,09/03/77,M,11/09/09,M3,RM,U1,
CA,U,541512.0,E,06/15/37,M,05/21/10,,OA,D2,
IL,A,,K,09/12/74,F,11/04/09,N2,UB,H1,
IL,D,445299.0,E,06/05/58,F,07/06/10,Y1,GF,H1,
TX,,484230.0,E,11/02/40,M,11/17/09,M3,OA,D2,
CA,D,,E,05/13/49,M,12/21/09,M3,OR,D2,
AR,B,325612.0,E,02/20/58,M,09/22/10,,NO,H2,
WI,,517210.0,E,10/22/79,F,01/20/10,M3,GF,D1,
NC,D,311999.0,E,09/13/71,F,03/22/10,M1,OR,S4,
VA,A,,G,,F,05/24/10,,RB,T2,
NY,D,,E,01/06/56,F,04/19/10,M3,RB,D2,
OK,C,,E,10/22/78,M,01/13/10,M3,NH,H1,
NJ,U,,E,11/24/64,F,03/01/10,M2,GF,S4,
PA,D,921190.0,G,02/19/59,M,07/16/10,,OA,D3,
TN,A,621999.0,E,,F,11/18/09,M3,RW,D2,
LA,D,213112.0,E,08/08/74,M,09/02/10,M3,NH,D2,
VA,C,611310.0,I,03/26/42,M,08/19/10,,OA,D1,
MN,C,611410.0,E,05/08/64,F,05/11/10,,OR,T2,
PA,D,561612.0,E,06/16/46,M,06/14/10,,OA,O1,
PA,D,325412.0,E,11/28/64,F,10/06/09,,OR,E1,
OH,D,622110.0,E,09/28/73,M,04/15/10,M3,OR,A3,
CA,D,332911.0,E,03/08/59,M,01/12/10,,T3,D2,
MI,A,525990.0,E,11/18/45,F,08/30/10,M3,OR,D2,
WV,A,921190.0,G,07/02/62,F,12/08/09,Y1,OR,H1,
CO,D,,G,07/02/49,M,10/20/09,M3,OR,H1,
MI,A,484121.0,E,07/02/57,M,03/18/10,Y1,RB,H1,
GA,A,811219.0,E,09/30/64,F,08/19/10,,OA,D2,
NC,D,812921.0,E,07/18/59,M,09/13/10,M3,RB,P3,
MP,A,,E,08/12/86,F,05/04/10,,RS,H1,
CT,A,921190.0,G,01/31/52,M,03/02/10,,Z2,H2,
PA,,813920.0,E,03/19/60,F,03/23/10,N2,OA,T2,
FL,A,561599.0,E,10/06/74,F,07/06/10,,OR,T2,
NY,D,,E,09/03/77,M,11/09/09,M3,NH,H1,
FL,D,446110.0,E,05/09/60,F,11/20/09,M3,NH,D1,
IL,A,525990.0,E,12/23/62,F,10/09/09,M3,OR,D2,
NC,D,,I,04/02/65,F,05/27/10,,RI,D3,
CO,D,444110.0,E,06/16/68,F,09/30/10,M3,GF,D3,
TX,D,,E,11/01/51,F,01/28/10,M3,GF,H1,
IN,C,623110.0,E,09/05/54,F,02/09/10,M3,NO,B5,
MD,A,485999.0,E,,M,11/12/09,M3,RW,T2,
FL,C,621330.0,E,12/21/53,F,10/06/09,M3,OR,D3,
OK,C,331111.0,E,08/08/65,M,03/04/10,M3,Z2,D2,
TX,D,611110.0,K,11/23/76,F,04/09/10,M3,OR,H1,
MI,D,447110.0,E,,N,06/10/10,,AO,H1,
GA,C,621399.0,E,06/20/85,F,10/23/09,,U6,P6,
TN,C,311942.0,E,12/09/72,F,07/01/10,M2,RB,T1,
PA,C,813319.0,E,01/28/74,F,01/20/10,N2,OR,H1,
CA,D,611310.0,I,01/06/47,F,06/07/10,,OA,H1,
MA,A,,E,06/14/69,F,12/04/09,,GP,D2,
FL,B,531110.0,E,06/02/78,F,04/30/10,,OR,A3,
TX,D,,E,02/08/71,M,08/31/10,M3,U2,O1,
MI,B,326220.0,E,,M,06/15/10,Y1,RB,D2,
CO,C,424820.0,E,03/16/63,F,12/31/09,M3,OR,D2,
NY,,622110.0,E,06/05/55,F,04/30/10,M3,Z4,T2,
IN,A,,E,11/07/68,F,05/17/10,M3,WL,D2,
TX,D,,E,08/13/70,F,03/24/10,X2,OC,T2,
MN,B,,G,11/01/56,M,07/29/10,M3,OA,D2,
NY,D,611310.0,G,08/02/42,M,09/17/10,,NE,T2,
NV,C,713990.0,E,05/08/55,N,07/15/10,,OA,D2,
TX,A,445299.0,E,09/24/60,M,09/20/10,M3,OR,S5,
OK,C,561499.0,E,06/24/53,F,10/26/09,M3,OA,D2,
NV,D,447110.0,E,07/05/56,M,05/25/10,M3,OR,H1,
VA,C,611310.0,I,03/26/42,M,08/19/10,,U1,T2,
CA,A,,E,,F,12/04/09,M2,GF,S4,
TX,A,,E,11/28/74,M,03/05/10,M3,RB,D2,
IL,D,,E,,F,04/15/10,M1,GF,P3,
TX,D,336411.0,E,08/02/57,M,06/25/10,M3,RB,D2,
CA,D,519190.0,E,12/25/61,F,09/16/10,N2,OA,D2,
NC,,492110.0,E,09/01/63,M,10/20/09,M3,Z2,R6,
LA,C,532310.0,E,06/05/83,F,10/07/09,M3,RM,D2,
CA,D,923110.0,K,03/16/54,F,06/10/10,M2,Z4,C1,
TX,D,541990.0,E,12/31/66,F,03/29/10,,RS,J1,
NC,A,812320.0,E,,F,12/30/09,M1,GF,S4,
NY,C,,E,03/18/64,F,11/25/09,M3,GF,A3,
FL,A,925120.0,G,03/10/58,M,11/23/09,,RB,W1,
PA,D,331421.0,E,02/25/66,F,07/19/10,M2,OA,L1,
IL,D,,G,01/16/83,M,08/23/10,,GM,D2,
CA,,339999.0,E,11/16/57,M,06/22/10,,OR,T2,
LA,D,,E,07/22/49,F,11/18/09,,OA,H1,
AL,D,622110.0,E,04/01/67,F,04/13/10,M3,Z4,D2,
NY,B,524126.0,E,05/20/86,F,07/07/10,M3,GP,D3,
PA,C,,U,01/22/58,M,01/06/10,M3,RB,U1,
NE,A,236210.0,E,08/30/71,F,09/13/10,M3,GF,L1,
CA,C,722110.0,E,,F,12/03/09,M3,UA,D2,
CO,D,445110.0,E,,M,03/17/10,M3,,S5,
CA,D,484121.0,E,02/23/66,M,02/25/10,,RB,H1,
OH,D,622110.0,E,11/07/53,F,01/26/10,M3,UB,T2,
WV,A,,E,07/26/86,F,04/29/10,M3,GF,L1,
MO,C,,E,09/11/53,F,05/18/10,M3,RS,C1,
IN,D,622110.0,E,04/04/79,F,06/25/10,,GP,S5,
GA,C,561612.0,E,12/29/66,F,10/13/09,M3,OR,S4,
CA,D,524210.0,E,06/18/61,M,12/08/09,M3,OR,D2,
WA,U,,E,09/25/61,M,08/04/10,,Z2,D2,
TX,D,,E,05/04/65,F,12/18/09,,OR,D2,
VA,D,,E,06/14/64,F,06/25/10,,GF,A3,
UT,D,484121.0,E,04/09/58,M,10/28/09,N2,OR,B1,
CO,,423810.0,E,07/25/49,M,10/09/09,M2,OA,L1,
TX,D,561440.0,E,03/18/76,F,10/22/09,N2,OR,S4,
WA,,532111.0,E,11/26/74,F,11/25/09,,GP,D2,
TN,A,454319.0,E,06/21/73,F,03/02/10,M3,GP,D2,
VA,B,,G,11/18/69,F,05/12/10,,GF,L1,
NM,D,611710.0,I,07/23/73,M,02/05/10,N2,Z2,H1,
TN,A,444190.0,E,11/29/61,N,11/17/09,M3,RB,D1,
VA,D,321999.0,E,05/30/74,F,08/12/10,Y1,RB,D2,
TN,A,,E,12/21/44,M,06/10/10,M3,OA,O1,
VA,A,541990.0,E,,M,10/23/09,,U2,D2,
CA,C,,G,07/29/52,M,09/17/10,,OR,D2,
TN,A,,E,06/27/70,M,04/05/10,,VB,T4,
VA,C,,E,09/16/81,F,10/27/09,,OR,D2,
KY,D,493110.0,E,12/15/72,F,07/15/10,M3,RB,D2,
FL,B,561720.0,E,07/24/60,F,12/29/09,M3,OR,D3,
AZ,D,541611.0,E,10/18/65,F,01/05/10,M2,U1,R6,
NC,U,,E,02/25/64,F,08/19/10,,OR,D1,
KS,U,,E,,F,01/20/10,N2,GF,D2,
FL,B,,E,05/30/58,F,09/01/10,,RB,D2,
NY,D,,E,12/05/80,M,08/12/10,N2,OR,H1,
IL,D,445120.0,E,09/08/63,F,12/03/09,,OR,H1,
CA,A,,E,02/25/65,M,02/09/10,N2,OR,S5,
AZ,D,621511.0,E,02/12/79,F,08/26/10,,RB,H1,
CA,C,,E,07/02/76,F,09/21/10,,GF,H1,
NY,D,,E,10/08/63,F,04/16/10,M3,OC,O1,
FL,D,481111.0,E,05/18/68,F,06/10/10,M3,GF,D2,
TX,D,,E,09/19/62,M,07/09/10,M3,GM,D3,
IN,D,,E,08/28/71,M,01/20/10,M3,OR,D2,
FL,A,,E,11/30/89,F,03/18/10,,OR,D2,
MS,D,238990.0,E,01/05/59,F,06/11/10,,OA,A3,
TX,D,621511.0,E,11/04/41,F,02/08/10,,OA,D2,
KS,A,562998.0,E,,M,04/22/10,N2,OR,D2,
CA,D,561612.0,E,09/22/56,F,09/16/10,M3,GF,T2,
AZ,B,517410.0,E,12/28/69,F,03/04/10,M3,UB,D2,
NY,A,,E,03/11/76,M,07/21/10,M3,AJ,H1,
HI,D,,G,10/04/59,F,12/29/09,M3,AP,D3,
IN,U,624230.0,E,08/09/63,F,05/24/10,,VB,D3,
AL,C,924110.0,G,,F,09/16/10,,GF,T2,
PA,D,561330.0,E,02/11/75,M,01/19/10,M3,U2,D2,
VT,A,813219.0,E,06/17/48,F,08/25/10,Y1,Z4,D2,
GA,D,,G,08/28/63,M,05/11/10,,OR,D3,
CO,D,561450.0,E,09/25/69,F,01/08/10,Y2,W2,R6,
NV,D,,E,10/20/65,M,06/14/10,M3,RB,T2,
CO,C,,E,06/14/55,M,10/05/09,M3,NO,D2,
PA,A,621111.0,E,11/07/59,F,01/26/10,,W3,D2,
MO,A,622110.0,E,,N,02/25/10,M3,RB,D3,
TX,D,,E,08/08/68,F,06/25/10,,RW,D2,
VA,A,,E,04/16/75,F,03/26/10,M3,TN,D2,
FL,U,,E,11/25/80,F,08/12/10,,GP,H2,
IL,C,921190.0,K,01/09/66,F,06/15/10,M3,RB,T2,
AR,U,,E,10/17/58,F,09/10/10,,OR,D2,
CO,C,721110.0,E,07/22/66,N,02/03/10,N2,OR,C1,
VA,C,521110.0,E,10/04/58,F,01/07/10,M3,Z1,H2,
NM,B,451211.0,N,01/05/41,F,04/14/10,M3,OR,H1,
CA,A,713910.0,E,04/27/56,F,03/08/10,,OR,D2,
AL,C,,E,12/27/63,F,12/03/09,,W3,R6,
VA,C,,E,02/12/65,F,10/13/09,,OA,O1,
NM,D,,G,11/09/64,F,05/25/10,X2,OR,D2,
DC,D,561110.0,E,,M,11/16/09,,NH,P3,
PR,D,443111.0,E,04/29/62,M,02/02/10,M3,WL,R6,
MA,D,812210.0,E,09/11/63,M,03/16/10,M2,UA,H2,
ID,D,561110.0,E,01/05/67,F,08/16/10,,GF,T2,
CA,D,,G,06/11/78,F,01/13/10,,UB,R6,
NJ,D,315999.0,E,12/07/72,M,03/03/10,M3,VB,O1,
IL,D,,G,06/06/68,F,07/27/10,M3,OR,D3,
VA,A,,E,,F,01/20/10,M3,NH,R4,
IL,D,442110.0,E,05/11/57,F,07/07/10,M3,W3,D2,
PA,D,,E,12/28/63,M,03/11/10,M3,RB,D1,
CA,D,,E,01/18/64,F,06/22/10,,OR,D2,
OK,D,722211.0,E,06/05/54,F,01/07/10,M3,OR,B1,
IL,D,,E,06/28/78,M,06/22/10,,GM,H1,
MN,B,621610.0,E,12/25/71,F,10/28/09,,AO,S4,
IL,C,,N,04/03/52,F,03/09/10,M3,OC,H2,
GA,A,,E,05/19/69,F,11/27/09,,OR,D2,
OH,D,,E,02/29/84,F,09/01/10,M2,RB,D2,
CA,D,,G,07/13/56,M,12/02/09,M3,RW,D3,
VA,A,,E,,F,10/05/09,M3,GF,W1,
CA,D,611310.0,G,05/02/56,M,03/04/10,M2,RB,A3,
IL,D,452111.0,E,09/17/66,F,02/18/10,,RB,I1,
NY,A,,E,01/19/72,F,04/29/10,,PF,D2,
CA,D,922140.0,G,09/21/39,M,08/02/10,,OA,T2,
MS,A,,E,07/18/84,F,03/03/10,M3,RB,W1,
NY,D,,U,01/27/58,M,06/23/10,M3,OR,O1,
CO,C,,E,,F,11/12/09,,GF,S4,
NY,A,,E,03/21/85,F,07/26/10,M2,NO,S4,
IL,D,333618.0,E,05/23/70,M,02/08/10,M3,Z2,R6,
NC,B,325211.0,E,08/14/60,F,02/08/10,M3,OA,D3,
PA,A,,E,04/05/49,F,05/21/10,,Z4,R6,
TN,,,E,07/31/84,M,04/13/10,M3,RB,D2,
OK,A,,E,06/02/78,M,12/08/09,M2,RB,D2,
CA,D,,U,08/25/62,M,04/26/10,,RB,S3,
OK,B,,E,11/27/79,F,05/11/10,N2,GF,S4,
FL,A,424490.0,E,08/06/71,M,07/19/10,X2,NH,S5,
LA,D,,E,12/02/79,F,09/21/10,M2,OR,D2,
GA,C,311612.0,E,01/24/68,M,04/02/10,M3,Z2,D2,
FL,A,452110.0,E,08/28/65,F,06/08/10,,U1,D2,
MO,D,,E,10/26/62,F,05/24/10,,RB,W1,
PA,A,,E,03/03/57,F,05/06/10,,OR,D3,
CA,A,,E,04/30/79,F,12/02/09,,OR,D2,
PA,D,331111.0,E,08/17/46,M,02/16/10,M3,GM,F1,
TX,A,,E,08/02/71,M,08/17/10,M3,OA,T2,
